#,LABEL,FLUID,ref1,ref2,chatgpt,neo4j,Abnormal_Count,Sepsis_abnormal,Sepsis_proportion,Admission_proportion,Sepsis_admission_proportion
51224,HEMOGLOBIN C,BLOOD,yes,no,yes,no,3,1,0.33,0.00,0.00
50802,BASE EXCESS,BLOOD,yes,no,no,no,1,,0.00,0.00,0.00
50810,"HEMATOCRIT, CALCULATED",BLOOD,yes,no,no,no,,,0.00,0.00,0.00
50817,OXYGEN SATURATION,BLOOD,yes,no,no,no,,,0.00,0.00,0.00
50830,"PCO2, BODY FLUID",OTHER BODY FLUID,yes,no,no,no,,,0.00,0.00,0.00
50833,POTASSIUM,OTHER BODY FLUID,yes,no,no,no,,,0.00,0.00,0.00
50835,"ALBUMIN, ASCITES",ASCITES,no,yes,yes,no,,,0.00,0.00,0.00
50847,"POTASSIUM, ASCITES",ASCITES,yes,no,no,no,,,0.00,0.00,0.00
50855,ABSOLUTE HEMOGLOBIN,BLOOD,yes,no,yes,no,,,0.00,0.00,0.00
50920,ESTIMATED GFR (MDRD EQUATION),BLOOD,no,yes,no,no,,,0.00,0.00,0.00
51037,"MAGNESIUM, BODY FLUID",OTHER BODY FLUID,yes,no,no,no,,,0.00,0.00,0.00
51040,"PHOSPHATE, BODY FLUID",OTHER BODY FLUID,yes,no,no,no,,,0.00,0.00,0.00
51046,"ALBUMIN, PLEURAL",PLEURAL,no,yes,yes,no,,,0.00,0.00,0.00
51069,"ALBUMIN, URINE",URINE,no,yes,yes,no,,,0.00,0.00,0.00
51078,"CHLORIDE, URINE",URINE,yes,no,no,no,,,0.00,0.00,0.00
51081,"CREATININE, SERUM",URINE,yes,yes,yes,no,,,0.00,0.00,0.00
51082,"CREATININE, URINE",URINE,yes,yes,yes,no,,,0.00,0.00,0.00
51088,"MAGNESIUM, URINE",URINE,yes,no,no,no,,,0.00,0.00,0.00
51095,"PHOSPHATE, URINE",URINE,yes,no,no,no,,,0.00,0.00,0.00
51106,URINE CREATININE,URINE,yes,yes,yes,no,,,0.00,0.00,0.00
51133,ABSOLUTE LYMPHOCYTE COUNT,BLOOD,no,yes,no,no,,,0.00,0.00,0.00
51253,MONOCYTE COUNT,BLOOD,no,yes,no,no,,,0.00,0.00,0.00
51480,HEMATOCRIT,URINE,yes,no,no,no,,,0.00,0.00,0.00
