ICD9_CODE,SHORT_TITLE,Count
"""V1046""","""Hx-prostatic malignancy""",103
"""4589""","""Hypotension NOS""",103
"""34590""","""Epilep NOS w/o intr epil""",103
"""25040""","""DMII renl nt st uncntrld""",103
"""27800""","""Obesity NOS""",103
"""2800""","""Chr blood loss anemia""",102
"""34830""","""Encephalopathy NOS""",101
"""591""","""Hydronephrosis""",101
"""V103""","""Hx of breast malignancy""",99
"""29410""","""Dementia w/o behav dist""",98
"""49121""","""Obs chr bronc w(ac) exac""",98
"""78820""","""Retention urine NOS""",98
"""4148""","""Chr ischemic hrt dis NEC""",95
"""V1254""","""Hx TIA/stroke w/o resid""",94
"""1120""","""Thrush""",94
"""1122""","""Candidias urogenital NEC""",92
"""70707""","""Pressure ulcer, heel""",92
"""4210""","""Ac/subac bact endocard""",92
"""30000""","""Anxiety state NOS""",91
"""51882""","""Other pulmonary insuff""",91
"""56400""","""Constipation NOS""",90
"""E9331""","""Adv eff antineoplastic""",90
"""9982""","""Accidental op laceration""",88
"""99811""","""Hemorrhage complic proc""",88
"""28860""","""Leukocytosis NOS""",88
"""V4364""","""Joint replaced hip""",86
"""E8497""","""Accid in resident instit""",86
"""V4511""","""Renal dialysis status""",86
"""42830""","""Diastolc hrt failure NOS""",85
"""5853""","""Chr kidney dis stage III""",85
"""E9342""","""Adv eff anticoagulants""",84
"""3310""","""Alzheimer's disease""",84
"""70705""","""Pressure ulcer, buttock""",83
"""56723""","""Spontan bact peritonitis""",83
"""03812""","""MRSA septicemia""",83
"""99812""","""Hematoma complic proc""",82
"""56722""","""Peritoneal abscess""",82
"""07070""","""Hpt C w/o hepat coma NOS""",81
"""1985""","""Secondary malig neo bone""",81
"""34831""","""Metabolic encephalopathy""",81
"""3004""","""Dysthymic disorder""",81
"""0417""","""Pseudomonas infect NOS""",81
"""5762""","""Obstruction of bile duct""",80
"""7904""","""Elev transaminase/ldh""",80
"""27541""","""Hypocalcemia""",80
"""03843""","""Pseudomonas septicemia""",80
"""70714""","""Ulcer of heel & midfoot""",79
"""3320""","""Paralysis agitans""",78
"""45981""","""Venous insufficiency NOS""",78
"""0383""","""Anaerobic septicemia""",78
"""04104""","""Enterococcus group d""",78
"""V1005""","""Hx of colonic malignancy""",76
"""42821""","""Ac systolic hrt failure""",76
"""41519""","""Pulm embol/infarct NEC""",76
"""5781""","""Blood in stool""",75
"""1970""","""Secondary malig neo lung""",75
"""0413""","""Klebsiella pneumoniae""",74
"""25002""","""DMII wo cmp uncntrld""",74
"""V4365""","""Joint replaced knee""",74
"""1125""","""Disseminated candidiasis""",74
"""28800""","""Neutropenia NOS""",73
"""5121""","""Iatrogenic pneumothorax""",72
"""78559""","""Shock w/o trauma NEC""",72
"""72888""","""Rhabdomyolysis""",72
"""E8782""","""Abn react-anastom/graft""",71
"""99681""","""Compl kidney transplant""",71
"""7140""","""Rheumatoid arthritis""",71
"""V153""","""Hx of irradiation""",70
"""042""","""Human immuno virus dis""",69
"""33829""","""Chronic pain NEC""",68
"""99674""","""Comp-oth vasc dev/graft""",68
"""56210""","""Dvrtclo colon w/o hmrhg""",68
"""56983""","""Perforation of intestine""",67
"""36201""","""Diabetic retinopathy NOS""",67
"""51889""","""Other lung disease NEC""",67
"""481""","""Pneumococcal pneumonia""",67
"""49320""","""Chronic obst asthma NOS""",67
"""V0980""","""Inf mcr rst ot drg nt ml""",66
"""V4502""","""Status autm crd dfbrltr""",66
"""70715""","""Ulcer other part of foot""",65
"""42831""","""Ac diastolic hrt failure""",64
"""71590""","""Osteoarthros NOS-unspec""",64
"""45829""","""Iatrogenc hypotnsion NEC""",64
"""56729""","""Suppurat peritonitis NEC""",63
"""0382""","""Pneumococcal septicemia""",63
"""6822""","""Cellulitis of trunk""",63
"""5768""","""Dis of biliary tract NEC""",62
"""5780""","""Hematemesis""",62
"""48283""","""Pneumo oth grm-neg bact""",62
"""261""","""Nutritional marasmus""",62
"""E8780""","""Abn react-org transplant""",61
"""E8781""","""Abn react-artif implant""",61
"""56981""","""Intestinal fistula""",61
"""03819""","""Staphylcocc septicem NEC""",60
"""9971""","""Surg compl-heart""",60
"""48242""","""Meth res pneu d/t Staph""",60
"""3970""","""Tricuspid valve disease""",60
"""2536""","""Neurohypophysis dis NEC""",59
"""30391""","""Alcoh dep NEC/NOS-contin""",59
"""25080""","""DMII oth nt st uncntrld""",59
"""E9308""","""Adv eff antibiotics NEC""",58
"""59654""","""Neurogenic bladder NOS""",58
"""3569""","""Idio periph neurpthy NOS""",58
"""4820""","""K. pneumoniae pneumonia""",58
"""58381""","""Nephritis NOS in oth dis""",57
"""3481""","""Anoxic brain damage""",57
"""2753""","""Dis phosphorus metabol""",57
"""E9320""","""Adv eff corticosteroids""",57
"""43820""","""Late ef-hemplga side NOS""",56
"""34839""","""Encephalopathy NEC""",55
"""5920""","""Calculus of kidney""",55
"""45621""","""Esoph varice oth dis NOS""",55
"""V422""","""Heart valve transplant""",55
"""43411""","""Crbl emblsm w infrct""",54
"""25541""","""Glucocorticoid deficient""",54
"""4011""","""Benign hypertension""",54
"""59010""","""Ac pyelonephritis NOS""",54
"""340""","""Multiple sclerosis""",54
"""V707""","""Exam-clincal trial""",53
"""99664""","""React-indwell urin cath""",53
"""70709""","""Pressure ulcer, site NEC""",53
"""V8741""","""Hx antineoplastic chemo""",52
"""78720""","""Dysphagia NOS""",52
"""5711""","""Ac alcoholic hepatitis""",52
"""27669""","""Fluid overload NEC""",52
"""4829""","""Bacterial pneumonia NOS""",51
"""43889""","""Late effect CV dis NEC""",51
"""04111""","""Mth sus Stph aur els/NOS""",51
"""28522""","""Anemia in neoplastic dis""",51
"""5750""","""Acute cholecystitis""",51
"""7823""","""Edema""",51
"""V442""","""Ileostomy status""",51
"""57420""","""Cholelithiasis NOS""",50
"""60001""","""BPH w urinary obs/LUTS""",50
"""27650""","""Volume depletion NOS""",50
"""V1011""","""Hx-bronchogenic malignan""",50
"""5609""","""Intestinal obstruct NOS""",50
"""452""","""Portal vein thrombosis""",49
"""57451""","""Choledochlith NOS w obst""",49
"""E8889""","""Fall NOS""",49
"""42820""","""Systolic hrt failure NOS""",49
"""4414""","""Abdom aortic aneurysm""",49
"""V443""","""Colostomy status""",49
"""51883""","""Chronic respiratory fail""",48
"""44024""","""Ath ext ntv art gngrene""",48
"""29680""","""Bipolar disorder NOS""",48
"""5728""","""Oth sequela, chr liv dis""",47
"""515""","""Postinflam pulm fibrosis""",47
"""5109""","""Empyema w/o fistula""",47
"""30390""","""Alcoh dep NEC/NOS-unspec""",47
"""3441""","""Paraplegia NOS""",47
"""V433""","""Heart valve replac NEC""",45
"""5680""","""Peritoneal adhesions""",45
"""3659""","""Glaucoma NOS""",45
"""1179""","""Mycoses NEC & NOS""",45
"""56211""","""Dvrtcli colon w/o hmrhg""",45
"""99661""","""React-cardiac dev/graft""",44
"""V462""","""Depend-supplement oxygen""",44
"""70724""","""Pressure ulcer, stage IV""",44
"""5921""","""Calculus of ureter""",44
"""V1204""","""Hx Methicln resist Staph""",44
"""V4975""","""Status amput below knee""",44
"""30500""","""Alcohol abuse-unspec""",44
"""1983""","""Sec mal neo brain/spine""",44
"""30393""","""Alcoh dep NEC/NOS-remiss""",43
"""41189""","""Ac ischemic hrt dis NEC""",43
"""2752""","""Dis magnesium metabolism""",43
"""7821""","""Nonspecif skin erupt NEC""",42
"""78009""","""Other alter consciousnes""",42
"""43491""","""Crbl art ocl NOS w infrc""",42
"""20280""","""Oth lymp unsp xtrndl org""",42
"""1976""","""Sec mal neo peritoneum""",42
"""9999""","""Complic med care NEC/NOS""",41
"""4928""","""Emphysema NEC""",41
"""70720""","""Pressure ulcer,stage NOS""",41
"""V1051""","""Hx of bladder malignancy""",41
"""7854""","""Gangrene""",41
"""V1588""","""Personal history of fall""",41
"""53789""","""Gastroduodenal dis NEC""",41
"""5559""","""Regional enteritis NOS""",40
"""07044""","""Chrnc hpt C w hepat Coma""",40
"""5793""","""Intest postop nonabsorb""",40
"""7824""","""Jaundice NOS""",40
"""V4589""","""Post-proc states NEC""",39
"""V1052""","""Hx of kidney malignancy""",39
"""V4611""","""Respirator depend status""",39
"""V08""","""Asymp hiv infectn status""",39
"""E8796""","""Abn react-urinary cath""",39
"""72886""","""Necrotizing fasciitis""",39
"""70723""","""Pressure ulcer,stage III""",39
"""43811""","""Late eff CV dis-aphasia""",38
"""5718""","""Chronic liver dis NEC""",38
"""20500""","""Ac myl leuk wo achv rmsn""",38
"""5533""","""Diaphragmatic hernia""",38
"""1173""","""Aspergillosis""",38
"""7847""","""Epistaxis""",37
"""28419""","""Other pancytopenia""",37
"""56409""","""Constipation NEC""",37
"""V0254""","""Meth resis Staph carrier""",37
"""7850""","""Tachycardia NOS""",37
"""99832""","""Disrup-external op wound""",37
"""6827""","""Cellulitis of foot""",37
"""5363""","""Gastroparesis""",37
"""23875""","""Myelodysplastic synd NOS""",37
"""29181""","""Alcohol withdrawal""",37
"""59080""","""Pyelonephritis NOS""",36
"""5589""","""Noninf gastroenterit NEC""",36
"""3241""","""Intraspinal abscess""",36
"""73390""","""Bone & cartilage dis NOS""",36
"""0416""","""Proteus infection NOS""",36
"""56089""","""Intestinal obstruct NEC""",36
"""9331""","""Foreign body in larynx""",36
"""99659""","""Malfunc oth device/graft""",35
"""79029""","""Abnormal glucose NEC""",35
"""E9300""","""Adv eff penicillins""",35
"""5184""","""Acute lung edema NOS""",35
"""9975""","""Surg compl-urinary tract""",35
"""431""","""Intracerebral hemorrhage""",35
"""7100""","""Syst lupus erythematosus""",35
"""56721""","""Peritonitis (acute) gen""",35
"""5771""","""Chronic pancreatitis""",35
"""5939""","""Renal & ureteral dis NOS""",35
"""25050""","""DMII ophth nt st uncntrl""",34
"""V4987""","""Physical restrain status""",34
"""78061""","""Fever in other diseases""",34
"""51919""","""Trachea & bronch dis NEC""",34
"""5772""","""Pancreat cyst/pseudocyst""",34
"""2738""","""Dis plas protein met NEC""",34
"""4239""","""Pericardial disease NOS""",34
"""7994""","""Cachexia""",34
"""185""","""Malign neopl prostate""",34
"""E9289""","""Accident NOS""",34
"""99682""","""Compl liver transplant""",34
"""56081""","""Intestinal adhes w obstr""",33
"""0549""","""Herpes simplex NOS""",33
"""5720""","""Abscess of liver""",33
"""7242""","""Lumbago""",33
"""73028""","""Osteomyelit NOS-oth site""",33
"""42741""","""Ventricular fibrillation""",33
"""04112""","""MRSA elsewhere/NOS""",33
"""5854""","""Chr kidney dis stage IV""",32
"""7885""","""Oliguria & anuria""",32
"""725""","""Polymyalgia rheumatica""",32
"""1550""","""Mal neo liver, primary""",32
"""6823""","""Cellulitis of arm""",32
"""27542""","""Hypercalcemia""",32
"""72973""","""Nontrauma comp syn-abd""",32
"""V4572""","""Acquire absnce intestine""",32
"""28749""","""Sec thrombocytpenia NEC""",32
"""7455""","""Secundum atrial sept def""",31
"""99685""","""Compl marrow transplant""",31
"""03840""","""Gram-neg septicemia NOS""",31
"""70704""","""Pressure ulcer, hip""",31
"""7837""","""Failure to thrive-adult""",30
"""V1082""","""Hx-malig skin melanoma""",30
"""70725""","""Pressure ulcer,unstagebl""",30
"""2819""","""Deficiency anemia NOS""",30
"""45620""","""Bleed esoph var oth dis""",30
"""2512""","""Hypoglycemia NOS""",30
"""2662""","""B-complex defic NEC""",30
"""78830""","""Urinary incontinence NOS""",30
"""44023""","""Ath ext ntv art ulcrtion""",30
"""45341""","""Ac DVT/emb prox low ext""",30
"""V1302""","""Personal history UTI""",30
"""5130""","""Abscess of lung""",30
"""V1581""","""Hx of past noncompliance""",29
"""3485""","""Cerebral edema""",29
"""7078""","""Chronic skin ulcer NEC""",29
"""25061""","""DMI neuro nt st uncntrld""",29
"""34690""","""Migrne unsp wo ntrc mgrn""",29
"""07032""","""Hpt B chrn wo cm wo dlta""",29
"""23871""","""Essntial thrombocythemia""",29
"""5569""","""Ulceratve colitis unspcf""",29
"""V4579""","""Acq absence of organ NEC""",29
"""4370""","""Cerebral atherosclerosis""",29
"""99831""","""Disrup internal op wound""",29
"""11289""","""Candidiasis site NEC""",29
"""E8791""","""Abn react-renal dialysis""",29
"""42781""","""Sinoatrial node dysfunct""",28
"""V420""","""Kidney transplant status""",28
"""20300""","""Mult mye w/o achv rmson""",28
"""0785""","""Cytomegaloviral disease""",28
"""8670""","""Bladder/urethra inj-clos""",28
"""44020""","""Athscl extrm ntv art NOS""",28
"""73007""","""Ac osteomyelitis-ankle""",28
"""56969""","""Colstmy/enteros comp NEC""",28
"""28959""","""Spleen disease NEC""",28
"""V1083""","""Hx-skin malignancy NEC""",28
"""6961""","""Other psoriasis""",28
"""51189""","""Effusion NEC exc tb""",28
"""42843""","""Ac/chr syst/dia hrt fail""",28
"""73008""","""Ac osteomyelitis NEC""",27
"""V1006""","""Hx-rectal & anal malign""",27
"""E8859""","""Fall from slipping NEC""",27
"""39891""","""Rheumatic heart failure""",27
"""29420""","""Demen NOS w/o behv dstrb""",27
"""78057""","""Sleep apnea NOS""",27
"""E9305""","""Adv eff cephalosporin""",27
"""E8498""","""Accident in place NEC""",27
"""04185""","""Oth gram negatv bacteria""",27
"""35981""","""Critical illness myopthy""",27
"""99673""","""Comp-ren dialys dev/grft""",26
"""2630""","""Malnutrition mod degree""",26
"""78052""","""Insomnia NOS""",26
"""53550""","""Gstr/ddnts NOS w/o hmrhg""",26
"""5579""","""Vasc insuff intest NOS""",26
"""78097""","""Altered mental status""",26
"""7921""","""Abn find-stool contents""",25
"""25062""","""DMII neuro uncntrld""",25
"""04119""","""Other staphylococcus""",25
"""70721""","""Pressure ulcer, stage I""",25
"""79001""","""Drop, hematocrit, precip""",25
"""99749""","""Oth digestv system comp""",25
"""70719""","""Ulcer oth part low limb""",25
"""29040""","""Vascular dementia,uncomp""",25
"""319""","""Intellect disability NOS""",25
"""2518""","""Pancreatic disorder NEC""",25
"""59971""","""Gross hematuria""",25
"""07071""","""Hpt C w hepatic coma NOS""",25
"""04149""","""E.coli infection NEC/NOS""",25
"""V5331""","""Ftng cardiac pacemaker""",24
"""43310""","""Ocl crtd art wo infrct""",24
"""25041""","""DMI renl nt st uncntrld""",24
"""41512""","""Septic pulmonary embolsm""",24
"""28803""","""Drug induced neutropenia""",24
"""29281""","""Drug-induced delirium""",24
"""V4976""","""Status amput above knee""",24
"""V1272""","""Prsnl hst colonic polyps""",24
"""3694""","""Legal blindness-usa def""",24
"""71106""","""Pyogen arthritis-l/leg""",24
"""48282""","""Pneumonia e coli""",24
"""57450""","""Choledocholithiasis NOS""",24
"""E912""","""Resp obstr-inhal obj NEC""",24
"""78701""","""Nausea with vomiting""",24
"""1991""","""Malignant neoplasm NOS""",24
"""33394""","""Restless legs syndrome""",24
"""5679""","""Peritonitis NOS""",23
"""V1087""","""Hx of thyroid malignancy""",23
"""E9478""","""Adv eff medicinal NEC""",23
"""3962""","""Mitral insuf/aort stenos""",23
"""3453""","""Grand mal status""",23
"""07030""","""Hpt B acte wo cm wo dlta""",23
"""E9352""","""Adv eff opiates""",23
"""3383""","""Neoplasm related pain""",23
"""44422""","""Lower extremity embolism""",23
"""E8783""","""Abn react-external stoma""",23
"""25051""","""DMI ophth nt st uncntrld""",23
"""11284""","""Candidal esophagitis""",23
"""72889""","""Muscle/ligament dis NEC""",23
"""V1301""","""Prsnl hst urnr dsrd calc""",22
"""4260""","""Atriovent block complete""",22
"""1628""","""Mal neo bronch/lung NEC""",22
"""51851""","""Ac resp flr fol trma/srg""",22
"""70712""","""Ulcer of calf""",22
"""V4586""","""Bariatric surgery status""",22
"""7905""","""Abn serum enzy level NEC""",22
"""99669""","""React-int pros devic NEC""",22
"""V850""","""BMI less than 19,adult""",22
"""V1255""","""Hx pulmonary embolism""",22
"""V454""","""Arthrodesis status""",22
"""7291""","""Myalgia and myositis NOS""",22
"""514""","""Pulm congest/hypostasis""",22
"""73018""","""Chr osteomyelit NEC""",22
"""30501""","""Alcohol abuse-continuous""",22
"""V8801""","""Acq absnce cervix/uterus""",22
"""4846""","""Pneum in aspergillosis""",22
"""53019""","""Other esophagitis""",21
"""73313""","""Path fx vertebrae""",21
"""V1259""","""Hx-circulatory dis NEC""",21
"""7856""","""Enlargement lymph nodes""",21
"""78550""","""Shock NOS""",21
"""4940""","""Bronchiectas w/o ac exac""",21
"""1570""","""Mal neo pancreas head""",21
"""5733""","""Hepatitis NOS""",21
"""1890""","""Malig neopl kidney""",21
"""29570""","""Schizoaffective dis NOS""",21
"""V427""","""Liver transplant status""",21
"""45382""","""Ac DVT/embl up ext""",21
"""5695""","""Intestinal abscess""",21
"""430""","""Subarachnoid hemorrhage""",21
"""57400""","""Cholelith w ac cholecyst""",21
"""V4983""","""Await organ transplnt st""",20
"""45821""","""Hemododialysis hypotensn""",20
"""41072""","""Subendo infarct, subseq""",20
"""25070""","""DMII circ nt st uncntrld""",20
"""28984""","""Heparin-indu thrombocyto""",20
"""1962""","""Mal neo lymph intra-abd""",20
"""20410""","""Ch lym leuk wo achv rmsn""",20
"""4568""","""Varices of other sites""",20
"""V4573""","""Acquired absence kidney""",20
"""V550""","""Atten to tracheostomy""",20
"""59970""","""Hematuria NOS""",19
"""71690""","""Arthropathy NOS-unspec""",19
"""1123""","""Cutaneous candidiasis""",19
"""4870""","""Influenza with pneumonia""",19
"""9986""","""Persist postop fistula""",19
"""5852""","""Chro kidney dis stage II""",19
"""E9290""","""Late eff motor vehic acc""",19
"""V1271""","""Prsnl hst peptic ulcr ds""",19
"""19889""","""Secondary malig neo NEC""",19
"""7907""","""Bacteremia""",19
"""4412""","""Thoracic aortic aneurysm""",19
"""E915""","""FB entering oth orifice""",19
"""42090""","""Acute pericarditis NOS""",19
"""30401""","""Opioid dependence-contin""",19
"""73017""","""Chr osteomyelit-ankle""",19
"""30560""","""Cocaine abuse-unspec""",19
"""99932""","""Blood inf dt cen ven cth""",19
"""4321""","""Subdural hemorrhage""",18
"""25012""","""DMII ketoacd uncontrold""",18
"""1961""","""Mal neo lymph-intrathor""",18
"""5778""","""Pancreatic disease NEC""",18
"""V180""","""Fam hx-diabetes mellitus""",18
"""E8490""","""Accident in home""",18
"""70713""","""Ulcer of ankle""",18
"""4270""","""Parox atrial tachycardia""",18
"""99667""","""React-oth int ortho dev""",18
"""V0259""","""Bacteria dis carrier NEC""",18
"""53240""","""Chr duoden ulcer w hem""",18
"""7295""","""Pain in limb""",18
"""1121""","""Candidal vulvovaginitis""",18
"""E8786""","""Abn reac-organ rem NEC""",18
"""2689""","""Vitamin D deficiency NOS""",18
"""58881""","""Sec hyperparathyrd-renal""",18
"""E8700""","""Acc cut/hem in surgery""",18
"""45342""","""Ac DVT/emb distl low ext""",18
"""03844""","""Serratia septicemia""",18
"""2440""","""Postsurgical hypothyroid""",18
"""V453""","""Intestinal bypass status""",17
"""V463""","""Wheelchair dependence""",17
"""4160""","""Prim pulm hypertension""",17
"""3963""","""Mitral/aortic val insuff""",17
"""E8792""","""Abn react-radiotherapy""",17
"""9092""","""Late effect of radiation""",17
"""5100""","""Empyema with fistula""",17
"""99883""","""Non-healing surgcl wound""",17
"""36250""","""Macular degeneration NOS""",17
"""51181""","""Malignant pleural effusn""",17
"""99702""","""Iatrogen CV infarc/hmrhg""",17
"""29590""","""Schizophrenia NOS-unspec""",17
"""4592""","""Compression of vein""",17
"""3314""","""Obstructiv hydrocephalus""",17
"""4242""","""Nonrheum tricusp val dis""",17
"""53642""","""Gastrostomy comp - mech""",17
"""53085""","""Barrett's esophagus""",17
"""V1079""","""Hx-lymphatic malign NEC""",17
"""78951""","""Malignant ascites""",17
"""78321""","""Abnormal loss of weight""",17
"""45340""","""Ac DVT/embl low ext NOS""",16
"""V641""","""No proc/contraindication""",16
"""135""","""Sarcoidosis""",16
"""99666""","""React-inter joint prost""",16
"""2769""","""Electrolyt/fluid dis NEC""",16
"""4739""","""Chronic sinusitis NOS""",16
"""04186""","""Helicobacter pylori""",16
"""99762""","""Infection amputat stump""",16
"""5641""","""Irritable bowel syndrome""",16
"""51909""","""Tracheostomy comp NEC""",16
"""4139""","""Angina pectoris NEC/NOS""",16
"""3484""","""Compression of brain""",16
"""449""","""Septic arterial embolism""",16
"""4430""","""Raynaud's syndrome""",16
"""4263""","""Left bb block NEC""",16
"""28850""","""Leukocytopenia NOS""",16
"""53290""","""Duodenal ulcer NOS""",16
"""V1042""","""Hx-uterus malignancy NEC""",16
"""42842""","""Chr syst/diastl hrt fail""",16
"""1363""","""Pneumocystosis""",16
"""25042""","""DMII renal uncntrld""",16
"""72400""","""Spinal stenosis NOS""",16
"""45381""","""Ac embl suprfcl up ext""",16
"""73730""","""Idiopathic scoliosis""",16
"""1623""","""Mal neo upper lobe lung""",16
"""53140""","""Chr stomach ulc w hem""",16
"""V4282""","""Trspl sts-perip stm cell""",16
"""E8499""","""Accident in place NOS""",16
"""2113""","""Benign neoplasm lg bowel""",16
"""78829""","""Oth spcf retention urine""",16
"""71941""","""Joint pain-shlder""",16
"""55090""","""Unilat inguinal hernia""",16
"""45182""","""Phlbts sprfc vn up extrm""",16
"""V452""","""Ventricular shunt status""",16
"""57491""","""Gall&bil cal w/o ch w ob""",16
"""78065""","""Hypothrm-wo low env tmp""",15
"""41011""","""AMI anterior wall, init""",15
"""V6441""","""Lap surg convert to open""",15
"""49322""","""Ch obst asth w (ac) exac""",15
"""1629""","""Mal neo bronch/lung NOS""",15
"""9972""","""Surg comp-peri vasc syst""",15
"""262""","""Oth severe malnutrition""",15
"""7135""","""Arthropathy w nerve dis""",15
"""53551""","""Gstr/ddnts NOS w hmrhg""",15
"""41091""","""AMI NOS, initial""",15
"""5370""","""Acq pyloric stenosis""",15
"""52801""","""Mucosits d/t antineo rx""",15
"""9072""","""Late eff spinal cord inj""",15
"""V551""","""Atten to gastrostomy""",15
"""34400""","""Quadriplegia, unspecifd""",15
"""30550""","""Opioid abuse-unspec""",15
"""E9288""","""Accident NEC""",15
"""78001""","""Coma""",15
"""44489""","""Arterial embolism NEC""",15
"""37230""","""Conjunctivitis NOS""",15
"""72989""","""Muscskel sympt limb NEC""",15
"""33182""","""Dementia w Lewy bodies""",15
"""V1201""","""Prsnl hst tuberculosis""",15
"""V446""","""Urinostomy status NEC""",15
"""5571""","""Chr vasc insuff intest""",15
"""4588""","""Hypotension NEC""",15
"""03810""","""Staphylcocc septicem NOS""",15
"""V5332""","""Ftng autmtc dfibrillator""",14
"""48284""","""Legionnaires' disease""",14
"""25001""","""DMI wo cmp nt st uncntrl""",14
