ITEMID,LABEL,FLUID,ref1,ref2,chatgpt,neo4j,Abnormal_Count,Sepsis_abnormal,Sepsis_proportion,Admission_proportion,Sepsis_admission_proportion
51144,BANDS,BLOOD,no,yes,no,yes,5309,1966,37%,10%,38%
51250,MCV,BLOOD,no,no,no,yes,13498,2060,15%,27%,40%
51254,MONOCYTES,BLOOD,no,yes,no,no,8216,2014,25%,16%,39%
50885,"BILIRUBIN, TOTAL",BLOOD,no,yes,yes,yes,6995,1698,24%,14%,33%
51143,ATYPICAL LYMPHOCYTES,BLOOD,no,yes,no,no,4311,1404,33%,8%,27%
50822,"POTASSIUM, WHOLE BLOOD",BLOOD,yes,no,no,no,14483,1505,10%,29%,29%
50924,FERRITIN,BLOOD,no,no,yes,no,5010,1160,23%,10%,22%
50889,C-REACTIVE PROTEIN,BLOOD,no,no,yes,no,2288,710,31%,5%,14%
51196,D-DIMER,BLOOD,no,no,yes,no,1497,502,34%,3%,10%
50806,"CHLORIDE, WHOLE BLOOD",BLOOD,yes,no,no,no,7271,940,13%,14%,18%
51116,LYMPHOCYTES,ASCITES,no,no,no,no,1071,348,32%,2%,7%
51116,LYMPHOCYTES,ASCITES,no,no,no,no,1071,348,32%,2%,7%
50915,D-DIMER,BLOOD,no,no,yes,no,586,198,34%,1%,4%
51224,HEMOGLOBIN C,BLOOD,yes,no,yes,no,3,1,33%,0%,0%
50803,"CALCULATED BICARBONATE, WHOLE BLOOD",BLOOD,yes,no,yes,no,2318,392,17%,5%,8%
51245,"LYMPHOCYTES, PERCENT",BLOOD,no,yes,no,no,270,70,26%,1%,1%
51300,WBC COUNT,BLOOD,yes,yes,yes,no,211,49,23%,0%,1%
51223,HEMOGLOBIN A2,BLOOD,yes,no,yes,no,23,5,22%,0%,0%
50852,% HEMOGLOBIN A1C,BLOOD,yes,no,yes,no,3632,213,6%,7%,4%
51225,HEMOGLOBIN F,BLOOD,yes,no,yes,no,6,1,17%,0%,0%
51529,ESTIMATED ACTUAL GLUCOSE,BLOOD,no,yes,no,no,8,1,13%,0%,0%
51002,TROPONIN I,BLOOD,no,no,yes,no,1385,3,0%,3%,0%
51069,"ALBUMIN, URINE",URINE,no,yes,yes,no,0,0,0%,0%,0%
51253,MONOCYTE COUNT,BLOOD,no,yes,no,no,0,0,0%,0%,0%
51133,ABSOLUTE LYMPHOCYTE COUNT,BLOOD,no,yes,no,no,0,0,0%,0%,0%
51106,URINE CREATININE,URINE,yes,yes,yes,no,0,0,0%,0%,0%
51095,"PHOSPHATE, URINE",URINE,yes,no,no,no,0,0,0%,0%,0%
51088,"MAGNESIUM, URINE",URINE,yes,no,no,no,0,0,0%,0%,0%
51480,HEMATOCRIT,URINE,yes,no,no,no,0,0,0%,0%,0%
51082,"CREATININE, URINE",URINE,yes,yes,yes,no,0,0,0%,0%,0%
51081,"CREATININE, SERUM",URINE,yes,yes,yes,no,0,0,0%,0%,0%
51078,"CHLORIDE, URINE",URINE,yes,no,no,no,0,0,0%,0%,0%
50855,ABSOLUTE HEMOGLOBIN,BLOOD,yes,no,yes,no,0,0,0%,0%,0%
51046,"ALBUMIN, PLEURAL",PLEURAL,no,yes,yes,no,0,0,0%,0%,0%
51040,"PHOSPHATE, BODY FLUID",OTHER BODY FLUID,yes,no,no,no,0,0,0%,0%,0%
51037,"MAGNESIUM, BODY FLUID",OTHER BODY FLUID,yes,no,no,no,0,0,0%,0%,0%
50920,ESTIMATED GFR (MDRD EQUATION),BLOOD,no,yes,no,no,0,0,0%,0%,0%
50847,"POTASSIUM, ASCITES",ASCITES,yes,no,no,no,0,0,0%,0%,0%
50835,"ALBUMIN, ASCITES",ASCITES,no,yes,yes,no,0,0,0%,0%,0%
50833,POTASSIUM,OTHER BODY FLUID,yes,no,no,no,0,0,0%,0%,0%
50830,"PCO2, BODY FLUID",OTHER BODY FLUID,yes,no,no,no,0,0,0%,0%,0%
50817,OXYGEN SATURATION,BLOOD,yes,no,no,no,0,0,0%,0%,0%
50802,BASE EXCESS,BLOOD,yes,no,no,no,1,0,0%,0%,0%
50810,"HEMATOCRIT, CALCULATED",BLOOD,yes,no,no,no,0,0,0%,0%,0%
