ITEMID,LABEL,ref1,ref2,ref3,neo4j,All yes,Abnormal_Count,Sepsis_abnormal_count,Sepsis_Proportion,Admission_proportion,Sepsis_admission_proportion
51387,,,,,,,54,13,0.24,0.00,0.00
51139,,,,,,,47,13,0.28,0.00,0.00
51112,,,,,,,37,13,0.35,0.00,0.00
51433,,,,,,,32,13,0.41,0.00,0.00
51442,,,,,,,62,12,0.19,0.00,0.00
50943,,,,,,,37,12,0.32,0.00,0.00
51366,,,,,,,24,12,0.50,0.00,0.00
51122,,,,,,,34,11,0.32,0.00,0.00
51368,,,,,,,30,11,0.37,0.00,0.00
50865,,,,,,,26,11,0.42,0.00,0.00
51271,,,,,,,98,10,0.10,0.00,0.00
51452,,,,,,,49,10,0.20,0.00,0.00
50814,,,,,,,54,9,0.17,0.00,0.00
51241,,,,,,,31,9,0.29,0.00,0.00
51140,,,,,,,76,8,0.11,0.00,0.00
51302,,,,,,,53,8,0.15,0.00,0.00
51273,,,,,,,38,8,0.21,0.00,0.00
51381,,,,,,,17,8,0.47,0.00,0.00
51377,,,,,,,12,8,0.67,0.00,0.00
51206,,,,,,,122,7,0.06,0.00,0.00
51005,,,,,,,30,7,0.23,0.00,0.00
50895,,,,,,,30,7,0.23,0.00,0.00
51467,,,,,,,23,7,0.30,0.00,0.00
51270,,,,,,,21,7,0.33,0.00,0.00
50805,,,,,,,78,6,0.08,0.00,0.00
50926,,,,,,,46,6,0.13,0.00,0.00
51228,,,,,,,40,6,0.15,0.00,0.00
50898,,,,,,,31,6,0.19,0.00,0.00
51272,,,,,,,19,6,0.32,0.00,0.00
50945,,,,,,,79,5,0.06,0.00,0.00
50972,,,,,,,37,5,0.14,0.00,0.00
51223,HEMOGLOBIN A2,yes,no,yes,no,,25,5,0.20,0.00,0.00
50873,,,,,,,18,5,0.28,0.00,0.00
50957,,,,,,,101,4,0.04,0.00,0.00
50988,,,,,,,34,4,0.12,0.00,0.00
51199,,,,,,,32,4,0.13,0.00,0.00
51205,,,,,,,32,4,0.13,0.00,0.00
51289,,,,,,,21,4,0.19,0.00,0.00
50992,,,,,,,13,4,0.31,0.00,0.00
51430,,,,,,,8,4,0.50,0.00,0.00
51380,,,,,,,8,4,0.50,0.00,0.00
51449,,,,,,,7,4,0.57,0.00,0.00
51119,,,,,,,6,4,0.67,0.00,0.00
51002,TROPONIN I,no,no,yes,no,,1388,3,0.00,0.02,0.00
50990,,,,,,,100,3,0.03,0.00,0.00
50906,,,,,,,83,3,0.04,0.00,0.00
50958,,,,,,,32,3,0.09,0.00,0.00
51299,,,,,,,26,3,0.12,0.00,0.00
51365,,,,,,,10,3,0.30,0.00,0.00
51149,,,,,,,9,3,0.33,0.00,0.00
51298,,,,,,,31,2,0.06,0.00,0.00
51138,,,,,,,26,2,0.08,0.00,0.00
51494,,,,,,,13,2,0.15,0.00,0.00
51227,,,,,,,13,2,0.15,0.00,0.00
50876,,,,,,,9,2,0.22,0.00,0.00
51451,,,,,,,8,2,0.25,0.00,0.00
50989,,,,,,,8,2,0.25,0.00,0.00
51376,,,,,,,4,2,0.50,0.00,0.00
50981,,,,,,,62,1,0.02,0.00,0.00
51208,,,,,,,19,1,0.05,0.00,0.00
51202,,,,,,,19,1,0.05,0.00,0.00
50928,,,,,,,18,1,0.06,0.00,0.00
51204,,,,,,,16,1,0.06,0.00,0.00
51225,HEMOGLOBIN F,yes,no,yes,no,,10,1,0.10,0.00,0.00
51529,ESTIMATED ACTUAL GLUCOSE,no,yes,no,no,,8,1,0.13,0.00,0.00
51435,,,,,,,5,1,0.20,0.00,0.00
50941,,,,,,,5,1,0.20,0.00,0.00
50894,,,,,,,5,1,0.20,0.00,0.00
50916,,,,,,,5,1,0.20,0.00,0.00
51375,,,,,,,4,1,0.25,0.00,0.00
51280,,,,,,,4,1,0.25,0.00,0.00
51224,HEMOGLOBIN C,yes,no,yes,no,,3,1,0.33,0.00,0.00
51432,,,,,,,3,1,0.33,0.00,0.00
51456,,,,,,,3,1,0.33,0.00,0.00
51379,,,,,,,3,1,0.33,0.00,0.00
51121,,,,,,,2,1,0.50,0.00,0.00
51443,,,,,,,2,1,0.50,0.00,0.00
51210,,,,,,,2,1,0.50,0.00,0.00
51113,,,,,,,1,1,1.00,0.00,0.00
51459,,,,,,,1,1,1.00,0.00,0.00
51348,,,,,,,44,,0.00,0.00,0.00
50991,,,,,,,14,,0.00,0.00,0.00
51203,,,,,,,9,,0.00,0.00,0.00
50996,,,,,,,9,,0.00,0.00,0.00
51209,,,,,,,8,,0.00,0.00,0.00
50877,,,,,,,8,,0.00,0.00,0.00
50977,,,,,,,5,,0.00,0.00,0.00
50925,,,,,,,4,,0.00,0.00,0.00
50921,,,,,,,2,,0.00,0.00,0.00
50982,,,,,,,2,,0.00,0.00,0.00
51367,,,,,,,2,,0.00,0.00,0.00
51285,,,,,,,2,,0.00,0.00,0.00
50802,BASE EXCESS,yes,no,no,no,,1,,0.00,0.00,0.00
50913,,,,,,,1,,0.00,0.00,0.00
51129,,,,,,,1,,0.00,0.00,0.00
50934,,,,,,,1,,0.00,0.00,0.00
51532,,,,,,,1,,0.00,0.00,0.00
51282,,,,,,,1,,0.00,0.00,0.00
50816,,,,,,,1,,0.00,0.00,0.00
51437,,,,,,,1,,0.00,0.00,0.00
50810,"HEMATOCRIT, CALCULATED",yes,no,no,no,,,,0.00,0.00,0.00
50817,OXYGEN SATURATION,yes,no,no,no,,,,0.00,0.00,0.00
50830,"PCO2, BODY FLUID",yes,no,no,no,,,,0.00,0.00,0.00
50833,POTASSIUM,yes,no,no,no,,,,0.00,0.00,0.00
50835,"ALBUMIN, ASCITES",no,yes,yes,no,,,,0.00,0.00,0.00
50847,"POTASSIUM, ASCITES",yes,no,no,no,,,,0.00,0.00,0.00
50855,ABSOLUTE HEMOGLOBIN,yes,no,yes,no,,,,0.00,0.00,0.00
50920,ESTIMATED GFR (MDRD EQUATION),no,yes,no,no,,,,0.00,0.00,0.00
51037,"MAGNESIUM, BODY FLUID",yes,no,no,no,,,,0.00,0.00,0.00
51040,"PHOSPHATE, BODY FLUID",yes,no,no,no,,,,0.00,0.00,0.00
51046,"ALBUMIN, PLEURAL",no,yes,yes,no,,,,0.00,0.00,0.00
51069,"ALBUMIN, URINE",no,yes,yes,no,,,,0.00,0.00,0.00
51078,"CHLORIDE, URINE",yes,no,no,no,,,,0.00,0.00,0.00
51081,"CREATININE, SERUM",yes,yes,yes,no,,,,0.00,0.00,0.00
51082,"CREATININE, URINE",yes,yes,yes,no,,,,0.00,0.00,0.00
51088,"MAGNESIUM, URINE",yes,no,no,no,,,,0.00,0.00,0.00
51095,"PHOSPHATE, URINE",yes,no,no,no,,,,0.00,0.00,0.00
51106,URINE CREATININE,yes,yes,yes,no,,,,0.00,0.00,0.00
51133,ABSOLUTE LYMPHOCYTE COUNT,no,yes,no,no,,,,0.00,0.00,0.00
51253,MONOCYTE COUNT,no,yes,no,no,,,,0.00,0.00,0.00
51480,HEMATOCRIT,yes,no,no,no,,,,0.00,0.00,0.00
